month,PSA,OFFENSE,crimes
2017-02-01,406,motor vehicle theft,3
2017-02-01,406,robbery,4
2017-02-01,406,sex abuse,1
2017-02-01,406,theft f/auto,10
2017-02-01,406,theft/other,9
2017-02-01,407,arson,0
2017-02-01,407,assault w/dangerous weapon,6
2017-02-01,407,burglary,3
2017-02-01,407,homicide,0
2017-02-01,407,motor vehicle theft,3
2017-02-01,407,robbery,3
2017-02-01,407,sex abuse,0
2017-02-01,407,theft f/auto,8
2017-02-01,407,theft/other,16
2017-02-01,408,arson,0
2017-02-01,408,assault w/dangerous weapon,1
2017-02-01,408,burglary,0
2017-02-01,408,homicide,0
2017-02-01,408,motor vehicle theft,1
